#,granter_id,grantee,grantee_id,fiscal_year,description,amount,start,end,url
11,225,Independent Sector,,2006,"For the Panel on the Nonprofit Sector to publish and disseminate recommendations on nonprofit and philanthropic governance, ethics and accountability, and for the IS annual conference",116000,10/1/2007,9/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
12,225,Institute for Policy Studies,,2006,Core support for the Foreign Policy in Focus project to build support for a multilateral U.S. foreign policy and inclusion of underrepresented groups in the foreign policy debate,300000,2/1/2007,1/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
13,225,Local Initiatives Support Corporation,,2006,For Detroit LISC to continue to implement a regional equity approach to community development as part of a national demonstration project,250000,7/1/2007,6/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
14,225,Metropolitan Organizing Strategy Enabling Strength,,2006,"To strengthen the capacity of African-American leaders in regional equity organizing work through education, research analysis and training",200000,1/1/2007,12/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
15,225,Michigan State University,,2006,"For the African Activist Archives Project to locate, preserve & digitize materials documenting African-American grassroots support for the African liberation struggle, 1950-1994, & post them online",95000,8/1/2007,7/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
16,225,Museum of African American History,,2006,"Endowment support and for staff development, a marketing campaign and educational programs and services",2000000,12/1/2006,11/30/2011,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
17,225,PolicyLink,,2006,"To plan, develop the agenda for and implement a national summit on equitable development, social justice and smart growth to be held in New Orleans in 2008",350000,4/16/2007,4/15/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
18,225,PolicyLink,,2006,"General support to promote community building at the federal, state and local levels to advance social and economic equity nationwide",1000000,1/1/2007,12/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
19,225,Regents of the University of Michigan,,2006,For the School of Natural Resources and Environment's Minority Environmental Leadership Development Initiative to organize a national environmental justice research conference & follow-up activities,99987,1/1/2007,12/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
20,225,Regents of the University of Michigan,,2006,For the School of Natural Resources and Environment to manage the International Forestry Resources and Institutions research network & work with it to improve forest-related livelihoods & governance,250000,7/1/2007,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
21,225,Regents of the University of Michigan,,2006,"For the National Poverty Center to organize a conference on ""Access, Assets and Poverty:  The Role of Financial Services Among Low- and Moderate-Income Households""",99957,1/1/2007,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
22,225,Regents of the University of Michigan,,2006,For dissemination of scholarship on African-American masculinity to improve program and policy interventions,100000,5/1/2007,4/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
23,225,Regents of the University of Michigan,,2006,For the Center for Institutional Diversity to examine local opportunities and systems barriers to access to higher education for minority high school students in three urban areas,198928,9/1/2007,8/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
24,225,"Shorebank Enterprise, Detroit",,2006,To expand financing of real estate and small business development and a construction sector development program,1650000,11/1/2006,10/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
25,225,"Shorebank Enterprise, Detroit",,2006,To increase SED's net assets and loan loss reserve to expand financing activities and leverage additional resources,1350000,5/15/2007,5/14/2017,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
26,225,"Sphinx Organization, Inc.",,2006,"To build diversity in classical music, including the Performance Academy, the Artist Development Program, the Black and Latino Symphony national recital series and the Sphinx-Prep Saturday Academy",150000,5/1/2007,4/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
27,225,Tides Center,,2006,Project support for Women in Informal Employment: Globalizing and Organizing to build an international network of member-based organizations of informal waste collectors,150000,1/1/2007,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
28,225,Tides Center,,2006,"For the Gender, Justice & Human Genetics Program to educate & engage women's health, social justice & human rights activists in response to challenges posed by new human genetic technologies",150000,7/1/2007,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
29,225,Tides Center,,2006,"To launch the Security and Foreign Policy Media Initiative, a community-wide strategic communications and media outreach campaign for peace, security and foreign policy organizations",200000,7/1/2007,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
30,225,Tides Center,,2006,For Honor the Earth's Energy Justice Initiative for Indigenous Peoples to raise awareness and foster dialogue around renewable energy and the ecological destruction caused by a fossil fuel economy,75000,9/1/2007,8/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
31,225,Tides Center,,2006,Core support for the Opportunity Agenda to expand opportunity and human rights in the United States,1800000,12/1/2006,7/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
32,225,Tides Center,,2006,For the Center for Social Inclusion to develop social justice advocacy strategies and build policy reform models for ending racial disparity and promoting equal opportunity in the Gulf Coast region,400000,7/1/2007,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
33,225,Tides Center,,2006,Core support for the Warrior Women collective to produce a documentary film and video oral history collection on the history of American Indian women's activism in the Red Power Movement,25000,10/1/2007,9/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
34,225,Tides Center,,2006,"For the International Network on Economic, Social, and Cultural Rights to hold its second International Strategy Meeting to shape the international advocacy agenda for organizations globally",200000,7/1/2007,6/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
35,225,Vera Institute of Justice,,2006,"For the Prosecution and Racial Justice program to analyze the disparate racial impact of criminal prosecutions in three pilot sites: Charlotte, Milwaukee and San Diego",150000,7/1/2007,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
36,225,Vera Institute of Justice,,2006,To host two study visits by Chinese criminal justice reformers and provide technical assistance to criminal justice sector pilot projects in China,148790,11/1/2006,10/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
37,225,Arab Community Center for Economic and Social Services,,2007,To increase the national presence and impact of the Arab American National Museum through public programs and traveling exhibits and to develop national marketing & media campaigns for each project,500000,9/1/2008,8/31/2011,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
38,225,Children's Defense Fund,,2007,"Core support for the Southern Rural Black Women's Initiative for Economic and Social Justice to empower black women in Mississippi, Alabama and Georgia",2780000,8/1/2008,7/31/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
39,225,Community Economic Development Association of Michigan,,2007,For the Michigan Foreclosure Task Force to provide  comprehensive foreclosure intervention services throughout Michigan,250000,8/1/2008,7/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
40,225,"Demos: A Network for Ideas and Action, Ltd.",,2007,For the Building Movement Project to strengthen commitment to social change among nonprofit sector organizations,250000,3/1/2008,12/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
41,225,"Demos: A Network for Ideas and Action, Ltd.",,2007,To assess the impact of the Public Works communications training program on its constituents and on the changing public discourse about government,100000,6/1/2008,2/28/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
42,225,"Demos: A Network for Ideas and Action, Ltd.",,2007,To expand the sample for a household survey on credit card debt,88000,7/1/2008,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
43,225,"Demos: A Network for Ideas and Action, Ltd.",,2007,For a national survey examining credit card debt among low- and middle-income households in the United States,300000,12/1/2007,11/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
44,225,"Demos: A Network for Ideas and Action, Ltd.",,2007,"General support to advance the work of the Public Works, Democracy and State Governance for the Future, and the Economic Opportunity programs",800000,10/1/2007,9/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
45,225,Detroit Economic Growth Association,,2007,Core support for the Detroit Office of Foreclosure Intervention and Response to develop a mortgage foreclosure prevention and response program in Detroit,2000000,8/1/2008,7/31/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
46,225,Detroit Regional Chamber,,2007,To underwrite the participation of a group of business-civic leaders from the greater Detroit area in the American Chamber of Commerce Executives' regional Sustainable Development Program,85000,9/15/2008,9/14/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
47,225,Detroit Symphony Orchestra Hall,,2007,"For its annual summer programming, including the 8 Days in June Festival, the Detroit International River Days Festival and the Concert of Colors",400000,6/1/2008,9/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
48,225,Detroiters Working for Environmental Justice,,2007,"Start-up support for Build Up Detroit to institutionalize public participation in land-use activities, create affordable healthy housing and generate new jobs in the emerging green collar market",500000,3/1/2008,2/28/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
49,225,Eastern Market Advancement Corporation,,2007,For education and outreach to improve nutritional opportunities for residents of the low-income east side neighborhoods of Detroit,500000,9/1/2008,8/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
50,225,Focus HOPE,,2007,"General support for intelligent and practical action to overcome racism, poverty and injustice",2000000,7/1/2008,12/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
51,225,Genessee County Land Bank,,2007,To rehabilitate the historic Durant Hotel for affordable housing and commercial space as a catalyst for revitalizing downtown Flint and a model for other Michigan communities,1000000,9/1/2008,8/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
52,225,Grantmakers in the Arts,,2007,To increase the organization's and the arts field's overall diversity and to facilitate cross-sector learning in arts education,152000,2/1/2008,1/31/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
53,225,Independent Sector,,2007,"To publish and disseminate recommendations on nonprofit and philanthropic governance, ethics and accountability",150000,4/1/2008,3/31/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
54,225,Independent Sector,,2007,Contribution toward the annual dues of a foundation-supported philanthropic association,24650,1/1/2008,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
55,225,ISAIAH,,2007,To collaborate with the Alliance for Metropolitan Stability & Transit for Livable Communities to ensure that public dollars invested in transportation benefit low-income and transit dependent people,225000,7/1/2008,6/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
56,225,Local Initiatives Support Corporation,,2007,"For Detroit  LISC to work with the city to improve vacant properties management systems, advocate for regional public transit infrastructure and assist in planning for future transit investments",350000,9/1/2008,8/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
57,225,Metropolitan Organizing Strategy Enabling Strength,,2007,General support to bring metropolitan Detroit-based congregations of faith together to improve the quality of life in their communities and create a more just and humane society,350000,6/1/2008,5/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
58,225,Michigan Roundtable for Diversity and Inclusion,,2007,For the Community Reconciliation effort to address racial segregation and bias in Michigan,1000000,10/1/2008,9/30/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
59,225,Michigan Suburbs Alliance,,2007,"General support to advance a regional agenda by unifying the older, mature cities and suburbs of metro Detroit",250000,8/1/2008,7/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
60,225,"National Association for the Advancement of Colored People, Detroit Branch",,2007,"General support to improve the social justice environment in metropolitan Detroit, with a focus on criminal justice, youth and education, affirmative action and organizational development",1000000,8/1/2008,7/31/2011,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
61,225,National Community Development Institute,,2007,To provide training and consulting services to emerging environmental justice leaders and their organizations,300000,3/1/2008,2/28/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
62,225,PolicyLink,,2007,"General support to promote community building at the federal, state and local levels to advance social and economic equity nationwide",1050000,1/1/2008,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
63,225,Regents of the University of Michigan,,2007,For the School of Natural Resources and Environment's Minority Environmental Leadership Development Initiative to strengthen the institutional infrastructure of the environmental justice field,195000,4/1/2008,3/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
64,225,Regents of the University of Michigan,,2007,For the Scholars Network on the Wellbeing of African American Males to disseminate scholarship on African-American masculinity to improve program and policy interventions,127190,5/1/2008,4/30/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
65,225,Regents of the University of Michigan,,2007,For the Detroit Public School Research Consortium to conduct a longitudinal study tracking the 2007 Detroit senior high school graduating cohort through the college application & enrollment process,404700,6/1/2008,5/31/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
66,225,"Shorebank Enterprise, Detroit",,2007,Net asset grant to accompany a program-related investment to the ShoreBank Corporation to increase the scale and impact of lending activities that benefit low-income people and communities,1000000,9/18/2008,9/17/2018,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
67,225,"Shorebank Enterprise, Detroit",,2007,To help capitalize a loan fund to finance the renovation and re-use of foreclosed homes as affordable housing,2000000,9/1/2008,8/31/2011,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
68,225,Smart Growth America,,2007,General support to promote equitable & environmentally & economically sustainable metropolitan development & for grants & technical assistance to help reclaim vacant properties along the Gulf Coast,1000000,3/1/2008,2/28/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
69,225,The Children's Aid Society,,2007,For the Carrera Adolescent Pregnancy Prevention Program to conduct a planning process for the fall 2009 launch of its in-school integrated youth development and sexuality education model in Detroit,500000,9/1/2008,8/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
70,225,The Foundation Center,,2007,"General support to collect, organize, analyze and disseminate information on foundation and corporate giving and for a special report on social justice grant making",650000,1/1/2008,12/31/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
71,225,Tides Center,,2007,"Core support for the National Asian Pacific American Women's Forum to build a public policy voice on reproductive rights, health and justice issues",300000,7/1/2008,6/30/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
72,225,Tides Center,,2007,For New Voices in Independent Journalism to continue the George Washington Williams Fellowship for investigative journalism and the Campus Journalism Project for college journalists and publications,100000,12/1/2007,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
73,225,Tides Center,,2007,"Core support for Break The Chains to undertake research and advocacy on the relationship among HIV/AIDS, drug abuse and ""the war on drugs"" in communities of color and promote drug sentencing reform",150000,5/1/2008,4/30/2010,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
74,225,Tides Center,,2007,For Generational Alliance's nonpartisan Generation Vote project to increase youth participation in the 2008 election cycle and sustain youth civic engagement year round,150000,3/1/2008,2/28/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
75,225,Tides Center,,2007,For the Africa Grantmakers' Affinity Group to host a conference bringing together public and private funders to discuss the nature and impact of funding on the African continent,10000,1/1/2008,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
